ascending
Sno	Size	Time
1	500	0.002903
2	1000	0.011965
3	5000	0.167870
4	10000	0.565785
5	50000	14.234840
6	100000	57.104381
7	500000	1489.507012


unsorted
Sno	Size	Time
1	500	0.003096
2	1000	0.011739
3	5000	0.298883
4	10000	1.207796
5	50000	30.017269
6	100000	120.294009
7	500000	3026.770838


descending
Sno	Size	Time
1	500	0.006949
2	1000	0.023709
3	5000	0.336037
4	10000	1.342711
5	50000	33.643503
6	100000	140.159812
7	500000	3472.953120


