descending
Sno	Size	Time
1	500	0.005854
2	1000	0.023616
3	5000	0.583434
4	10000	2.350422
5	50000	58.964133
6	100000	235.939427
7	500000	5457.721510


descending
Sno	Size	Time
1	500	0.007259
2	1000	0.023249
3	5000	0.369868
4	10000	1.471179
5	50000	36.370685
6	100000	144.137248
7	500000	3579.787036


