ascending
Sno	Size	Time
1	500	0.000021
2	1000	0.000040
3	5000	0.000194
4	10000	0.000387
5	50000	0.001812
6	100000	0.002770
7	500000	0.009742
8	1000000	0.019527
9	5000000	0.096950


unsorted
Sno	Size	Time
1	500	0.004797
2	1000	0.012005
3	5000	0.179397
4	10000	0.611806
5	50000	15.366653
6	100000	61.286827
7	500000	1528.939806




descending
Sno	Size	Time
1	500	0.007463
2	1000	0.024615
3	5000	0.321017
4	10000	1.153186
5	50000	29.628070
6	100000	117.209190
7	500000	3271.032216


