Sno	Size	Best	Worst	Average
1	500	0.000240	0.001554	0.000693
2	1000	0.000531	0.005553	0.003311
3	5000	0.003003	0.052860	0.039334
4	10000	0.006379	0.115712	0.073042
5	50000	0.018143	0.905749	0.540319
6	100000	0.034651	2.094237	1.227505
7	500000	0.181137	14.129158	8.170807
8	1000000	0.373328	30.713518	17.244892
9	5000000	2.040592	194.871995	107.857912
